Primary ID,%5min,%10min,%15min,%30min,%60min,%120min,%180min,%240min
Felodipine_N10_1,3.8810851537974673,5.622684476849346,7.553843514533152,14.095659268894378,25.53369356092015,59.475332709320085,70.34424340325401,83.99177061758685
Felodipine_N10_2,8.551072751816644,12.455284952077166,16.11564720750006,27.20328653683377,45.29002012201614,71.3734674491332,86.60168110912687,88.0159257647971
Felodipine_N11_1,3.8810851537974673,5.622684476849346,7.553843514533152,14.095659268894378,25.53369356092015,59.475332709320085,70.34424340325401,83.99177061758685
Felodipine_N11_2,8.551072751816644,12.455284952077166,16.11564720750006,27.20328653683377,45.29002012201614,71.3734674491332,86.60168110912687,88.0159257647971
Simvastatine_N1_1,0.6367819338529774,1.605249600851449,6.029390788524541,17.091471639888578,48.18657153100747,97.02076798387296,100.0,100.0
Simvastatine_N1_2,1.15,3.3350621988270253,10.19273383973444,20.941703146288997,49.281592946616975,93.15114412124728,96.49051958362628,96.49051958362628
Simvastatine_N2_1,0.05,2.6187573391461823,5.14921365563333,13.848840444310651,32.01080909923754,67.48672907500624,67.48672907500624,73.11223506212256
Simvastatine_N2_2,1.8040850157560344,5.523062010030905,11.5385935353587,25.50502858993511,41.89088063175995,86.19618052635175,86.19618052635175,94.64024857900382
Simvastatine_N3_1,0.0503096624430267,1.6589821947374348,4.501008318934831,18.90510642688542,38.3919159433777,73.11836231433877,79.8438685112242,80.41070580547796
Simvastatine_N3_2,0.8451825739395875,3.2887563259529444,6.433270258360241,22.2361536976017,41.41601192862044,71.90193947481083,89.01397239281197,89.01397239281197
Simvastatine_N4_1,1.0,4.415030746065345,7.695273592020175,16.9468516187231,33.839981641767174,69.41173750419395,95.18978018518716,95.18978018518716
Simvastatine_N4_2,0.3134844094039424,1.9222180561831237,5.682535525635593,17.45579158558611,41.400286522477074,82.06142715615792,95.49976507013632,99.56112572008897
Simvastatine_N5_1,2.1232238685924973,4.22669358746332,7.0094842225337075,18.181114109441616,36.99776337164849,71.63660565875259,91.24590323578283,100.0
Simvastatine_N5_2,2.576389598648262,4.824386836226341,7.991804492518804,18.703508532621257,37.84740713349421,68.23166220140895,90.0451139697646,91.04194735574902
Simvastatine_N6_1,1.1104158301552134,4.452362023395217,7.314108914731056,19.40997210186825,41.02417851742744,76.08871196472269,84.27630152974085,86.4854733765764
Simvastatine_N6_2,1.8584382882025603,3.877860138116073,6.417967257057345,16.00597812270416,33.314767691778464,66.66358628852835,79.71214624670269,83.97041119172458
