Primary ID,ST-Hardness (g),ST-Rigidity at 2% deformation (g),ST-Rigidity at 4% deformation (g),ST-Peak stress (N/mp),3PBT-Hardness (g),3PBT-Deformation at hardness (mm),3PBT-Total work (mJ),3PBT-Maximum force (N),3PBT-Peak stress (N/mp),3PBT-Flexural stress (g/mmp) (Samaro 2021 Prasad 2019),3PBT-Flexural strain (%),3PBT-Breaking distance (mm),3PBT-Stiffness (N/mm) (Hu 2022)
BCS4_S44,6505.0,1235.0,4335.0,24821890.0,824.5,1.15,5.39,8.0801,2167717.0,49.67611255765449,2.40672,1.15,7.026173913043479
BCS4_S45,7930.0,1790.0,5475.0,31231620.0,293.0,1.04,1.74,2.8714,1651350.0,55.28855485535688,1.487616,1.04,2.7609615384615385
BCS4_S46,11770.0,3210.0,9550.0,38603436.0,907.0,1.02,5.28,8.8886,2832685.0,70.76910828025477,1.9584,1.02,8.714313725490197
BCS4_S47,9060.0,1795.0,6555.0,30323634.0,574.5,1.45,4.41,5.6301,2290212.0,64.66907622121582,2.4638400000000003,1.45,3.8828275862068966
BCS4_S48,10220.0,2365.0,7230.0,32540248.0,770.0,1.23,4.97,7.545999999999999,2972882.0,82.41374188531536,2.12544,1.23,6.134959349593496
BCS4_S49,12285.0,3675.0,9750.0,38737844.0,938.5,1.21,6.37,9.1973,2931064.0,73.22691082802548,2.3232,1.21,7.60107438016529
BCS4_S50,10920.0,2685.0,8255.0,35459808.0,1148.0,1.2,7.34,11.250399999999999,3127232.0,73.11845250137611,2.4652800000000004,1.2,9.375333333333334
BCS4_S51,10695.0,2085.0,7450.0,30847684.0,921.5,1.31,6.42,9.0307,3148721.0,82.55087122824905,2.402016,1.31,6.8936641221374035
BCS4_S52,11690.0,2220.0,8420.0,33422664.0,1059.0,1.31,7.6,10.3782,3581118.0,93.39393999082183,2.414592,1.31,7.9222900763358775
BCS4_S53,3840.0,830.0,2280.0,14318455.0,545.5,1.54,4.5,5.345899999999999,2757488.0,87.98775178367353,2.321088,1.54,3.4713636363636358
BCS4_S54,9385.0,1980.0,6500.0,26295832.0,599.0,1.53,5.1,5.8702,2879502.0,89.59331738552339,2.364768,1.53,3.8367320261437907
BCS4_S55,10420.0,2110.0,7400.0,32235108.0,573.0,1.36,4.16,5.6154,2663133.0,81.08667664085449,2.141184,1.36,4.128970588235294
BCS4_S111,6530.0,1055.0,3825.0,21417200.0,1697.5,1.88,17.03,16.6355,5044481.0,122.99136544869015,3.6998399999999996,1.88,8.848670212765958
BCS4_S112,9555.0,2555.0,6870.0,30722144.0,1712.0,1.88,17.35,16.7776,5398387.0,135.60351728024216,3.5915519999999996,1.88,8.924255319148937
BCS4_S113,9145.0,1815.0,6170.0,24043382.0,1178.5,1.69,10.61,11.549299999999999,3567018.0,87.93624089023264,3.2934719999999995,1.69,6.833905325443786
BCS4_S114,8900.0,2475.0,6165.0,30410866.0,1816.0,2.51,24.22,17.7968,6078115.0,157.67772325736027,4.6505279999999996,2.51,7.090358565737053
BCS4_S115,5905.0,1125.0,3810.0,23539946.0,2290.0,2.35,29.1,22.442,7017884.0,173.4234402849697,4.557119999999999,2.35,9.549787234042553
BCS4_S116,5320.0,1375.0,3705.0,17105370.0,1620.5,1.87,16.75,15.880899999999999,4215299.0,96.30373127496671,3.931488,1.87,8.492459893048126
BCS4_S117,9560.0,2420.0,6525.0,27095832.0,1232.0,1.42,9.34,12.073599999999999,3422604.0,80.71040904155093,2.889984,1.42,8.502535211267606
BCS4_S118,2030.0,500.0,1100.0,6725507.0,1288.0,2.47,17.9,12.622399999999999,3386318.0,77.60198056307941,5.169216000000001,2.47,5.110283400809716
BCS4_S119,5895.0,1235.0,3925.0,19530474.0,1340.0,1.51,11.54,13.132,3831169.0,91.6204379335117,3.029664,1.51,8.696688741721854
BCS4_S120,7995.0,1215.0,5520.0,20632676.0,857.0,1.24,5.9,8.3986,2782880.0,71.0459017872065,2.333184,1.24,6.773064516129033
BCS4_S121,7750.0,2035.0,6030.0,50540956.0,203.0,0.95,1.02,1.9893999999999998,693641.0,18.185379120276245,1.7419200000000001,0.95,2.0941052631578945
BCS4_S122,2365.0,475.0,1635.0,8166453.0,527.5,2.03,4.77,5.1695,2278858.0,67.01964500784997,3.312959999999999,2.03,2.5465517241379314
BCS4_S123,5445.0,1780.0,5445.0,19417168.0,589.0,1.22,3.88,5.7722,2426940.0,69.79012452399874,2.037888,1.22,4.731311475409836
BCS4_S124,8460.0,2325.0,7650.0,25212768.0,400.5,0.9,2.24,3.9249,1022803.0,23.160723542136445,1.9094400000000002,0.9,4.361
BCS4_S125,4715.0,1195.0,3255.0,15781008.0,355.0,1.84,3.63,3.479,1338985.0,36.757046895365214,3.214848,1.84,1.8907608695652174
BCS4_S126,6745.0,680.0,4170.0,25737686.0,710.0,1.52,6.14,6.958,3067278.0,90.2065364086701,2.4806399999999997,1.52,4.5776315789473685
BCS4_S127,7190.0,1395.0,4695.0,25922726.0,1380.0,1.91,14.42,13.524,5593423.0,158.00379067029718,3.2271360000000002,1.91,7.0806282722513085
BCS4_S128,8905.0,2705.0,7145.0,27811534.0,1395.5,1.82,14.14,13.6759,4870171.0,129.02410393083423,3.3022080000000003,1.82,7.514230769230769
BCS4_S129,8920.0,1095.0,5550.0,35130648.0,1221.0,1.4,9.92,11.9658,4751555.0,132.88715213556478,2.4057600000000003,1.4,8.547
BCS4_S130,10810.0,1225.0,6980.0,41736176.0,1324.5,1.93,13.05,12.9801,4059034.0,100.30539155346828,3.7426559999999998,1.93,6.725440414507772
BCS4_S131,3850.0,990.0,2725.0,12258313.0,807.5,2.32,10.31,7.9135,3180269.0,89.37353734477351,3.9644160000000004,2.32,3.410991379310345
BCS4_S132,4965.0,1275.0,3390.0,19792690.0,944.0,1.82,9.42,9.251199999999999,2502021.0,57.66591879142008,3.7914239999999997,1.82,5.083076923076923
